OrderID,CustomerID,ProductID,Quantity,Price,OrderDate,Region,TotalAmount
1,4174,274,6,441.37,03/06/2023,West,2648.2200000000003
2,4507,222,6,366.65,24/12/2023,West,2199.8999999999996
3,1860,326,3,476.41,23/03/2023,East,1429.23
4,2294,489,5,443.69,27/12/2023,West,2218.45
5,2130,400,4,428.35,06/11/2023,East,1713.4
6,2095,182,9,198.82,28/11/2023,North,1789.3799999999999
7,4772,352,9,196.18,04/10/2023,North,1765.6200000000001
8,4092,245,1,371.9,06/05/2023,West,371.9
9,2638,219,8,46.46,11/10/2023,West,371.68
10,3169,164,9,164.5,04/05/2023,North,1480.5
11,1466,380,5,466.45,22/03/2023,East,2332.25
12,2238,382,4,227.8,01/12/2023,East,911.2
13,1330,490,4,138.6,06/10/2023,West,554.4
14,2482,205,2,240.84,30/06/2023,West,481.68
15,3135,399,9,147.85,05/11/2023,East,1330.6499999999999
16,4444,206,5,385.29,11/06/2023,South,1926.45
17,4171,135,3,426.05,20/11/2023,North,1278.15
18,3919,246,6,392.42,27/12/2023,West,2354.52
19,4735,361,9,78.78,12/01/2023,North,709.02
20,1130,258,9,171.35,10/05/2023,East,1542.1499999999999
21,2685,364,5,110.92,08/10/2023,East,554.6
22,4380,301,8,26.19,10/12/2023,North,209.52
23,1769,254,4,370.89,17/12/2023,West,1483.56
24,3391,112,5,217.04,05/05/2023,West,1085.2
25,2515,396,7,141.93,21/06/2023,South,993.51
26,4485,483,7,157.23,14/05/2023,North,1100.61
27,3853,421,7,71.83,17/12/2023,West,502.81
28,3433,184,8,414.25,08/02/2023,East,3314
29,2215,379,5,76.24,27/06/2023,North,381.2
30,1955,344,1,172.47,07/10/2023,West,172.47
31,3324,399,9,8.66,05/01/2023,North,77.94
32,2184,461,9,221.02,23/02/2023,North,1989.18
33,1459,453,7,180.63,06/11/2023,South,1264.4099999999999
34,4385,415,6,360.96,23/09/2023,West,2165.7599999999998
35,1021,108,5,359.08,23/03/2023,East,1795.3999999999999
36,3300,485,5,24.12,09/08/2023,North,120.60000000000001
37,1747,346,3,62.35,27/11/2023,South,187.05
38,3904,411,1,452.79,29/08/2023,North,452.79
39,4632,377,6,396.94,04/04/2023,South,2381.64
40,1474,337,8,197.8,29/12/2023,East,1582.4
41,2082,302,2,87.36,10/03/2023,East,174.72
42,3558,346,8,134.09,06/01/2023,South,1072.72
43,4753,334,8,330.72,25/07/2023,South,2645.76
44,3047,180,8,473.02,16/01/2023,North,3784.16
45,4547,455,3,309.79,01/03/2023,West,929.3700000000001
46,3747,112,8,18.09,22/05/2023,South,144.72
47,1975,426,4,327.11,16/10/2023,East,1308.44
48,2806,115,3,472.65,23/12/2023,East,1417.9499999999998
49,1189,144,9,182.53,25/07/2023,East,1642.77
50,4005,420,8,467.11,09/02/2023,East,3736.88
51,3734,238,2,336.96,09/01/2023,East,673.92
52,4005,425,8,98.97,01/04/2023,East,791.76
53,1562,247,3,76.93,14/07/2023,East,230.79000000000002
54,2899,454,6,92.27,21/07/2023,North,553.62
55,4638,335,5,351.12,17/02/2023,West,1755.6
56,2267,290,8,296.81,23/09/2023,West,2374.48
57,3879,200,9,230.49,02/09/2023,East,2074.41
58,2528,204,7,135.36,19/09/2023,South,947.5200000000001
59,4202,349,6,454.08,14/11/2023,South,2724.48
60,4556,495,6,110.8,31/01/2023,West,664.8
61,4890,193,1,145.39,19/09/2023,North,145.39
62,1646,319,5,32.18,17/12/2023,East,160.9
63,3068,397,8,141.29,03/02/2023,East,1130.32
64,3888,438,6,461.83,02/09/2023,East,2770.98
65,3214,232,1,97.86,15/12/2023,East,97.86
66,2297,460,5,105.96,19/11/2023,West,529.8
67,3435,254,5,301.99,25/09/2023,East,1509.95
68,1600,127,3,285.64,21/10/2023,East,856.92
69,3363,381,8,92.1,30/07/2023,West,736.8
70,3061,215,9,81.36,15/05/2023,North,732.24
71,1241,404,6,62.9,05/03/2023,North,377.4
72,3041,333,6,431.24,04/09/2023,West,2587.44
73,3824,100,2,328.95,29/11/2023,West,657.9
74,4417,447,2,476.96,04/10/2023,South,953.92
75,3612,339,6,87.09,19/03/2023,South,522.54
76,3945,157,8,233,13/06/2023,South,1864
77,2363,434,2,372.81,18/03/2023,West,745.62
78,3139,282,9,110.71,26/06/2023,East,996.39
79,2390,436,9,343.91,07/04/2023,West,3095.19
80,4003,125,4,239.53,19/05/2023,West,958.12
81,2478,176,4,218.26,31/08/2023,West,873.04
82,4499,316,4,324.27,25/12/2023,West,1297.08
83,3556,427,5,236.51,11/12/2023,North,1182.55
84,1775,424,8,410.91,25/12/2023,West,3287.28
85,1034,361,2,465.61,08/09/2023,North,931.22
86,3253,122,5,296.49,07/10/2023,West,1482.45
87,4152,343,2,153.79,05/10/2023,East,307.58
88,2955,257,8,389.72,20/06/2023,East,3117.76
89,2585,305,1,89.39,28/06/2023,North,89.39
90,4943,409,7,52.02,26/06/2023,South,364.14000000000004
